epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,40227.8,0.74526,0.62156,1.12643,0.59751,0.69375,0.63935,0.51691,0.73906,0.77414,1.09574,0.004357,0.004357,0.004357
59,40906,0.74408,0.61853,1.1255,0.59864,0.693,0.63922,0.51742,0.73736,0.77368,1.09451,0.004258,0.004258,0.004258
60,41577.3,0.73487,0.61305,1.12275,0.59142,0.69754,0.63889,0.51773,0.73565,0.77224,1.09348,0.004159,0.004159,0.004159
61,42251.2,0.7332,0.61112,1.12114,0.59078,0.70004,0.63925,0.51784,0.73441,0.77082,1.09302,0.00406,0.00406,0.00406
62,42926.3,0.73324,0.6039,1.11948,0.59054,0.70079,0.63968,0.51825,0.73238,0.77041,1.09167,0.003961,0.003961,0.003961
63,43600.2,0.72964,0.60408,1.12114,0.59173,0.6997,0.63945,0.51834,0.7305,0.76986,1.0904,0.003862,0.003862,0.003862
64,44274.3,0.7241,0.59826,1.11591,0.59186,0.70169,0.63968,0.51888,0.72893,0.76998,1.08964,0.003763,0.003763,0.003763
65,44948.2,0.72637,0.59911,1.11482,0.59117,0.70158,0.64007,0.51925,0.7273,0.7688,1.08857,0.003664,0.003664,0.003664
66,45624.4,0.72038,0.58998,1.11032,0.59327,0.70101,0.64027,0.5195,0.72575,0.76819,1.08779,0.003565,0.003565,0.003565
67,46297.3,0.71746,0.58892,1.10896,0.59183,0.7008,0.6394,0.51947,0.72422,0.76753,1.08709,0.003466,0.003466,0.003466
68,46973.1,0.71645,0.5883,1.10967,0.59349,0.70094,0.63959,0.51964,0.72282,0.76729,1.08658,0.003367,0.003367,0.003367
69,47648.5,0.70892,0.5803,1.10468,0.59439,0.70024,0.63951,0.51996,0.7215,0.76693,1.0858,0.003268,0.003268,0.003268
70,48321.3,0.70689,0.57869,1.10482,0.59462,0.70125,0.6393,0.5203,0.72015,0.76683,1.08513,0.003169,0.003169,0.003169
71,48995,0.70009,0.57452,1.10146,0.59491,0.70093,0.64022,0.52149,0.71885,0.7673,1.08468,0.00307,0.00307,0.00307
72,49670.4,0.69791,0.56691,1.10049,0.59188,0.70147,0.64001,0.52182,0.71738,0.76644,1.08375,0.002971,0.002971,0.002971
73,50345.9,0.69194,0.56574,1.09659,0.59276,0.70229,0.63998,0.52234,0.71622,0.76642,1.08338,0.002872,0.002872,0.002872
74,51021.1,0.69219,0.56074,1.09459,0.59203,0.70227,0.64012,0.5227,0.71477,0.76595,1.08232,0.002773,0.002773,0.002773
75,51697.7,0.68572,0.55955,1.09271,0.59347,0.7023,0.64076,0.52349,0.71279,0.76503,1.08062,0.002674,0.002674,0.002674
76,52367.2,0.68681,0.55683,1.091,0.59438,0.70229,0.64171,0.52369,0.71145,0.76436,1.07966,0.002575,0.002575,0.002575
77,53041.9,0.67978,0.54951,1.08928,0.59467,0.70291,0.64129,0.52376,0.71008,0.76349,1.07923,0.002476,0.002476,0.002476
